"pathway","pval","padj","log2err","ES","NES","size","cluster","database","direction"
"GOBP_LEUKOCYTE_MIGRATION",4.75773991013922e-06,0.00109903791924216,0.610526878385931,-0.566440902029889,-2.09075683659601,59,"3","GOBP","Down"
"GOBP_ACTIVATION_OF_IMMUNE_RESPONSE",1.27178414434859e-05,0.00196036369661361,0.593325476396405,-0.494990830341343,-1.95768169436431,91,"3","GOBP","Down"
"ESC_J1_UP_LATE.V1_DN",0.00653317448803067,0.126732140022281,0.407017918923954,0.60963838619458,1.80072208914401,18,"3","C6","Up"
"HALLMARK_UV_RESPONSE_UP",0.0108910432831647,0.126732140022281,0.380730400722792,0.521934294328098,1.69879003813005,25,"3","HALLMARK","Up"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.00769889477163506,0.126732140022281,0.407017918923954,0.359957349548274,1.53712262784495,92,"3","HALLMARK","Up"
"GOBP_POSITIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_PROLIFERATION",0.0171869967312425,0.172665325633167,0.352487857583619,0.594601324471272,1.72592124372091,16,"3","GOBP","Up"
"GOBP_TUMOR_NECROSIS_FACTOR_MEDIATED_SIGNALING_PATHWAY",0.0220974352683977,0.207341589750608,0.352487857583619,0.583862570847925,1.69475036964642,16,"3","GOBP","Up"
"GSE40685_TREG_VS_FOXP3_KO_TREG_PRECURSOR_DN",0.000371658018880045,0.021521592256077,0.49849310876659,-0.530460465178147,-2.04750614653173,38,"4","IMMUNE","Down"
"REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES",0.00191244473515262,0.0395238578598207,0.45505986738723,-0.600499063487896,-1.95879861023324,21,"4","REACTOME","Down"
"REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION",0.00338177308910127,0.0524174828810697,0.431707695803346,-0.637504537743653,-1.93908672335678,17,"4","REACTOME","Down"
"GSE40274_CTRL_VS_GATA1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP",0.00427955135923283,0.0977622282980712,0.407017918923954,-0.598704716321448,-1.89845444390959,19,"4","IMMUNE","Down"
"GSE3982_CTRL_VS_LPS_48H_DC_UP",0.0125626668339151,0.1765905383944,0.380730400722792,-0.522739970068762,-1.71204717338598,22,"4","IMMUNE","Down"
"GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_UP",1.41119663148992e-12,3.5138796124099e-09,0.910119734774459,0.655511598475642,2.44731833144654,83,"4","IMMUNE","Up"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",8.36690023018234e-07,0.000117973293245571,0.659444398037935,0.524611636750904,1.99000480251091,98,"4","HALLMARK","Up"
"REACTOME_INTERLEUKIN_10_SIGNALING",2.6343468683868e-06,0.000326659011679963,0.627256739718528,0.75963067579023,2.14074640458969,19,"4","REACTOME","Up"
"GSE37533_UNTREATED_VS_PIOGLIZATONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_UP",3.55612830400564e-06,0.000804978134270368,0.627256739718528,0.608703585219222,2.09376249611399,50,"4","IMMUNE","Up"
"GSE25123_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_DAY10_DN",4.93612997486736e-06,0.00102424696978498,0.610526878385931,0.624740067854484,2.10342578459456,45,"4","IMMUNE","Up"
"GSE25088_CTRL_VS_ROSIGLITAZONE_STIM_MACROPHAGE_UP",0.318435754189944,1,0.100633389423036,-0.509301821007345,-1.12610450637891,18,"5","IMMUNE","Down"
"GSE7460_TREG_VS_TCONV_ACT_WITH_TGFB_UP",0.311320754716981,1,0.102821842840815,-0.514969605379417,-1.15151152875589,19,"5","IMMUNE","Down"
"GSE27896_HDAC6_KO_VS_WT_TREG_UP",0.321011673151751,1,0.102821842840815,-0.481850168539148,-1.10966588074437,24,"5","IMMUNE","Down"
"GSE43863_NAIVE_VS_TFH_CD4_EFF_TCELL_D6_LCMV_DN",0.361058601134216,1,0.0940503465727813,-0.488383275533535,-1.10179549919604,20,"5","IMMUNE","Down"
"GOBP_CELL_CELL_JUNCTION_ORGANIZATION",0.29368029739777,1,0.105520936843198,-0.550376224321883,-1.18141809296188,15,"5","GOBP","Down"
"GOBP_CHROMATIN_ORGANIZATION",4.0352643039214e-07,7.6347200630193e-05,0.674962860011025,0.771946025461952,2.05496595181653,51,"5","GOBP","Up"
"GOBP_CHROMATIN_REMODELING",1.327356410525e-07,7.6347200630193e-05,0.690132458796796,0.799472673928821,2.08600603210809,45,"5","GOBP","Up"
"GOBP_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION",2.56716827352953e-07,7.6347200630193e-05,0.674962860011025,0.871595582411767,2.06788425308987,26,"5","GOBP","Up"
"GOBP_HETEROCHROMATIN_ORGANIZATION",3.34205680391917e-07,7.6347200630193e-05,0.674962860011025,0.928501655271543,1.94363818744033,15,"5","GOBP","Up"
"GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC",1.75330926740706e-07,7.6347200630193e-05,0.690132458796796,0.922775551914552,1.97657875476335,17,"5","GOBP","Up"
"GSE25123_CTRL_VS_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_UP",2.28340822471065e-11,5.60576719166463e-08,0.863415391606693,-0.683794335317952,-2.54737891745682,67,"6","IMMUNE","Down"
"GSE37533_UNTREATED_VS_PIOGLIZATONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_UP",9.00322407596336e-08,6.33990940979935e-05,0.704975715167238,-0.665989687923054,-2.27181577767222,46,"6","IMMUNE","Down"
"GSE22886_DAY0_VS_DAY1_MONOCYTE_IN_CULTURE_DN",1.1841423547747e-06,0.00041529564013884,0.643551836150722,-0.576496901485272,-2.15576265771265,69,"6","IMMUNE","Down"
"ESC_V6.5_UP_EARLY.V1_DN",2.86766218599048e-05,0.00392869719480695,0.575610261071129,-0.701189735194132,-2.1162915822853,24,"6","C6","Down"
"GSE17580_UNINFECTED_VS_S_MANSONI_INF_TREG_DN",3.52833295577379e-05,0.00426688924315859,0.557332238758646,-0.718962198242872,-2.05410401515748,21,"6","IMMUNE","Down"
"GSE25123_WT_VS_PPARG_KO_MACROPHAGE_ROSIGLITAZONE_STIM_UP",1.31453900799837e-09,1.613596632318e-06,0.788186810800237,0.661308139582873,2.4579608329981,55,"6","IMMUNE","Up"
"GSE8921_UNSTIM_0H_VS_TLR1_2_STIM_MONOCYTE_24H_UP",0.000137621080773687,0.00889104613945797,0.518848077743792,0.751282352244054,2.03422691093561,16,"6","IMMUNE","Up"
"GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY5_UP",0.000442534345465557,0.019060031896806,0.49849310876659,0.548757593347559,1.88374100122089,38,"6","IMMUNE","Up"
"GOBP_NERVOUS_SYSTEM_PROCESS",0.000288502904753409,0.0455834589510386,0.49849310876659,0.450418710093574,1.79257037376835,83,"6","GOBP","Up"
"GOBP_SODIUM_ION_TRANSMEMBRANE_TRANSPORT",0.000177835629494186,0.0455834589510386,0.518848077743792,0.745199035313083,2.05374065549112,16,"6","GOBP","Up"
"GOBP_REGULATION_OF_TRANSFERASE_ACTIVITY",0.000445309721688512,0.0758807765757225,0.49849310876659,-0.530144539336621,-1.94536082388679,29,"7","GOBP","Down"
"GOBP_REGULATION_OF_KINASE_ACTIVITY",0.000889220919543215,0.108230889064403,0.477270815362862,-0.545060504429246,-1.93410665698619,25,"7","GOBP","Down"
"GOBP_POSITIVE_REGULATION_OF_KINASE_ACTIVITY",0.00200635834266519,0.213677163493843,0.431707695803346,-0.547590553619635,-1.80552318218586,18,"7","GOBP","Down"
"GOBP_POSITIVE_REGULATION_OF_CATALYTIC_ACTIVITY",0.0035063959752679,0.24569157826673,0.431707695803346,-0.458662461566527,-1.72071069185976,33,"7","GOBP","Down"
"GOBP_REGULATION_OF_CATALYTIC_ACTIVITY",0.00603434900976084,0.29376468050197,0.407017918923954,-0.404226481205266,-1.60749180194026,49,"7","GOBP","Down"
"REACTOME_INTERFERON_SIGNALING",2.13585482292273e-10,1.09996523380521e-08,0.826657301178302,0.426404668173613,3.33341097886752,52,"7","REACTOME","Up"
"REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS",1.4165409379472e-10,1.09996523380521e-08,0.826657301178302,0.741830992505849,3.77989970789451,19,"7","REACTOME","Up"
"REACTOME_TRANSLATION",3.48630536914177e-10,1.19696484340534e-08,0.814035837847908,0.632482425352511,3.93659593135214,27,"7","REACTOME","Up"
"REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION",6.36158741659513e-10,1.63810875977325e-08,0.801215574617779,0.761617900172117,3.74720526617009,17,"7","REACTOME","Up"
"REACTOME_EUKARYOTIC_TRANSLATION_INITIATION",2.59559573097864e-08,4.35847348896816e-07,0.73376198835648,0.739869358637656,3.35358623085587,15,"7","REACTOME","Up"
"GSE24634_TREG_VS_TCONV_POST_DAY10_IL4_CONVERSION_DN",8.81588383295082e-10,2.03005761353313e-07,0.801215574617779,-0.669594078493512,-2.58748155443176,54,"8","IMMUNE","Down"
"GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_DN",5.33941147465938e-09,8.98931885699796e-07,0.761460801445585,-0.687436907562998,-2.62868028867801,45,"8","IMMUNE","Down"
"GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_UP",8.77312187247327e-09,1.25532185090219e-06,0.747739663149885,-0.665608162454531,-2.54517354106487,47,"8","IMMUNE","Down"
"GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_DN",6.69752211232182e-08,7.71128341386871e-06,0.704975715167238,-0.662732096281243,-2.48388261169657,44,"8","IMMUNE","Down"
"GSE3982_DC_VS_NKCELL_UP",2.95422284029794e-05,0.00149660929089494,0.575610261071129,-0.612215496471632,-2.22653532843366,38,"8","IMMUNE","Down"
"GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_UP",3.94711444584976e-17,9.99804089133745e-14,1.06720998682811,0.908594205502834,2.25150068172649,39,"8","IMMUNE","Up"
"GOBP_T_CELL_ACTIVATION",1.68680666702686e-11,1.16828783061648e-08,0.863415391606693,0.722579976501767,1.95586064258185,122,"8","GOBP","Up"
"REACTOME_INTERFERON_GAMMA_SIGNALING",5.12855048680833e-07,7.48768371074016e-05,0.659444398037935,-0.69665897902689,-2.59190643853391,25,"9","REACTOME","Down"
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II",3.18438769862036e-05,0.00288452452366694,0.557332238758646,-0.753667493180955,-2.64125705791566,15,"9","GOBP","Down"
"GOBP_POSITIVE_REGULATION_OF_LIPID_LOCALIZATION",5.76708443160801e-05,0.00391801298572369,0.557332238758646,-0.62089885339505,-2.52818974909862,22,"9","GOBP","Down"
"REACTOME_CELLULAR_RESPONSE_TO_STARVATION",8.75907065763184e-05,0.00426274772004749,0.538434096309916,-0.665045377702654,-2.30871258208419,19,"9","REACTOME","Down"
"REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION",0.000233453580434079,0.00536741341949082,0.518848077743792,-0.667302303608778,-2.35762631430729,17,"9","REACTOME","Down"
"REACTOME_ECM_PROTEOGLYCANS",2.17166936570976e-06,0.000158531863696812,0.627256739718528,0.854333584049449,1.61663827564555,22,"9","REACTOME","Up"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",4.87356122671145e-06,0.000784643357500543,0.610526878385931,0.733928796481906,1.45820225449413,66,"9","HALLMARK","Up"
"REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES",0.000514683478581311,0.00536741341949082,0.477270815362862,0.839481805672543,1.54934628616888,15,"9","REACTOME","Up"
"REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX",0.000449690721231551,0.00536741341949082,0.49849310876659,0.7740273364915,1.49128258899463,26,"9","REACTOME","Up"
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",0.000358269031096085,0.00536741341949082,0.49849310876659,0.79989357266194,1.50879222758402,21,"9","REACTOME","Up"
"HALLMARK_KRAS_SIGNALING_UP",0.000821107187861389,0.0566563959624358,0.477270815362862,-0.620919908893958,-1.82629978999043,31,"10","HALLMARK","Down"
"GCNP_SHH_UP_EARLY.V1_DN",0.000469917177668989,0.0566563959624358,0.49849310876659,-0.653039519267585,-1.84059623406061,25,"10","C6","Down"
"BMI1_DN.V1_DN",0.00257747230141772,0.0889227943989114,0.431707695803346,-0.651617170922152,-1.7388497399169,19,"10","C6","Down"
"GOBP_ERBB_SIGNALING_PATHWAY",0.00375902443097909,0.183260796718563,0.431707695803346,-0.648198634291402,-1.75780653551213,20,"10","GOBP","Down"
"GOBP_HEART_MORPHOGENESIS",0.000417823454418766,0.183260796718563,0.49849310876659,-0.672877854869479,-1.83488064593043,22,"10","GOBP","Down"
"ESC_V6.5_UP_EARLY.V1_DN",0.0564972454974121,0.244216160220994,0.321775918075361,0.403582157782228,1.39458325792098,26,"10","C6","Up"
"GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_2H_ACT_CD4_TCELL_DN",0.0140113775364952,0.407238939022306,0.380730400722792,0.527733899172378,1.71451978765579,21,"10","IMMUNE","Up"
"GSE17721_POLYIC_VS_GARDIQUIMOD_2H_BMDC_UP",0.0167021653176449,0.407238939022306,0.352487857583619,0.533500239109323,1.62338173396296,16,"10","IMMUNE","Up"
"GSE22601_CD4_SINGLE_POSITIVE_VS_CD8_SINGLE_POSITIVE_THYMOCYTE_UP",0.0126285793164934,0.407238939022306,0.380730400722792,0.551810346739795,1.67909734961822,16,"10","IMMUNE","Up"
"GOBP_NEGATIVE_REGULATION_OF_CATABOLIC_PROCESS",0.0726353166277612,0.409972131346177,0.287805130535564,0.366466214331975,1.37837382692194,34,"10","GOBP","Up"
