"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SRA1",4.24748755023425e-12,-0.401652639358528,0.264,0.331,1.11615477845056e-07
"ZNRF2",4.30210333569694e-12,-0.272797886367768,0.389,0.471,1.13050671455444e-07
"VCAN",4.37792556076274e-12,0.329799457708446,0.222,0.296,1.15043127885723e-07
"XKR6",4.4001088931753e-12,-0.294612801295516,0.187,0.254,1.15626061494861e-07
"GPATCH11",4.70218058453342e-12,-0.459781579702244,0.103,0.155,1.23563901400369e-07
"LRP12",4.80845853600126e-12,-0.643323900407266,0.079,0.126,1.26356673409041e-07
"CNDP2",4.87285324308572e-12,-0.305766564335151,0.253,0.326,1.28048837521806e-07
"ARHGEF3",4.89588826997991e-12,-0.378112642648109,0.217,0.284,1.28654151958532e-07
"NUCKS1",4.9542098709411e-12,0.280177534126521,0.666,0.657,1.3018672698859e-07
"GOLGB1",5.14210145077234e-12,-0.271669716252076,0.419,0.505,1.35124141923395e-07
"AL355075.4",5.17173750364687e-12,-0.691411652467538,0.102,0.153,1.35902918120832e-07
"PITPNC1",5.33148722926558e-12,-0.303488676929489,0.312,0.392,1.40100821410641e-07
"TAF1D",5.88902742802663e-12,-0.230706586084327,0.365,0.454,1.54751862753684e-07
"CEP57",6.23452296592019e-12,-0.362505729375068,0.188,0.253,1.63830794498451e-07
"INPP4B",6.31618965171001e-12,-0.624511351418338,0.093,0.141,1.65976831667636e-07
"TSEN34",6.33376643356123e-12,-0.508453190428434,0.105,0.156,1.66438714341122e-07
"TRIM26",6.39827824090069e-12,-0.406623781508797,0.167,0.227,1.68133955614388e-07
"NDUFA12",6.42242796937998e-12,-0.293607031348236,0.304,0.38,1.68768562179367e-07
"TMBIM6",6.57557725184807e-12,0.201609531384269,0.802,0.784,1.72793019024064e-07
"GADD45A",6.70187054648411e-12,-0.683600198832414,0.082,0.129,1.7611175422051e-07
"PPP3CC",6.71254887759512e-12,-0.330458909416243,0.206,0.273,1.76392359405445e-07
"KCMF1",7.12786369214631e-12,-0.222033680130532,0.295,0.379,1.87306002102221e-07
"IL10RA",7.49826369885088e-12,-0.221539051495386,0.395,0.483,1.97039373478403e-07
"HIGD2A",7.59033251293695e-12,-0.237262658749284,0.362,0.443,1.99458757774957e-07
"GBP3",7.67522442530567e-12,-0.559412770805985,0.089,0.138,2.01689547448182e-07
"CAMK2D",7.70300204973577e-12,-0.349421595851589,0.612,0.669,2.02419487862956e-07
"DNAJB1",8.05618912541509e-12,-0.684624147390478,0.523,0.577,2.11700537837658e-07
"MRE11",8.13212214656691e-12,-0.367696098708857,0.153,0.213,2.13695905767485e-07
"PHB2",8.18809980209566e-12,-0.353133641370811,0.19,0.254,2.1516688659947e-07
"RAB18",8.20632671194839e-12,-0.339197767126912,0.235,0.304,2.1564585333658e-07
"UGCG",8.26505515089483e-12,-0.255528459383336,0.31,0.391,2.17189119255214e-07
"MED14",8.29694572152654e-12,-0.327754005839258,0.182,0.247,2.18027139670274e-07
"TRAFD1",8.3890862425416e-12,-0.525945541274819,0.098,0.148,2.20448408281508e-07
"NMI",8.69073097378246e-12,-0.297475152041414,0.182,0.245,2.28375028529055e-07
"NUP58",8.75441368190696e-12,-0.397579479490123,0.259,0.328,2.30048482733151e-07
"ZNF75D",8.87951418123452e-12,-0.505823560901461,0.117,0.17,2.33335873654481e-07
"SCPEP1",8.88590800757197e-12,-0.293406572584144,0.276,0.349,2.33503890622976e-07
"STAM",8.89554720377021e-12,-0.429851110429755,0.152,0.211,2.33757189420674e-07
"LPXN",8.96624667941599e-12,-0.330605697194309,0.422,0.503,2.35615030241693e-07
"ALG2",9.07781097590112e-12,-0.486873944078201,0.091,0.14,2.3854671682473e-07
"CNPY3",9.40994462956567e-12,0.411422444548754,0.445,0.405,2.47274524975727e-07
"JMJD1C",9.71078438498971e-12,-0.257611184555019,0.965,0.959,2.5517999206876e-07
"ELF2",9.71701627092227e-12,-0.230536755595282,0.519,0.602,2.55343753567295e-07
"GAS7",9.75863843739191e-12,0.281541203841871,0.633,0.596,2.56437500857785e-07
"EPC2",9.79496971118071e-12,-0.249069133293005,0.274,0.351,2.57392214070407e-07
"SMIM15",1.03385391361151e-11,-0.406498064554303,0.146,0.204,2.71676131418832e-07
"CYBB",1.06540193981473e-11,-0.155188793674595,0.879,0.897,2.79966321744515e-07
"TIFA",1.06891764543924e-11,-0.618182618060182,0.063,0.105,2.80890178868523e-07
"AC007216.4",1.08113567690823e-11,-0.629385183302035,0.071,0.115,2.84100833177944e-07
"ETV5",1.10316939616549e-11,0.372511680739618,0.405,0.352,2.89890853924367e-07
"MBD4",1.10767083266534e-11,0.550090334415792,0.3,0.251,2.91073741407798e-07
"SESTD1",1.15478466074957e-11,-0.351080850223758,0.352,0.427,3.03454313151773e-07
"ORMDL1",1.15732063469358e-11,-0.294174122181036,0.298,0.372,3.0412071638478e-07
"EEF1A1",1.16905123205451e-11,-0.157108554217259,0.999,0.999,3.07203282759285e-07
"MPC1",1.18870537672983e-11,-0.296490939201961,0.222,0.292,3.12367998897065e-07
"AC024145.1",1.20140767029314e-11,-0.625709632283189,0.083,0.13,3.15705907599631e-07
"RSL24D1",1.21712078529797e-11,-0.248067181007759,0.319,0.395,3.19834999960601e-07
"CLTB",1.27002379660313e-11,-0.299730244397234,0.186,0.251,3.33736853271371e-07
"MPEG1",1.2718978128873e-11,-0.268702795714948,0.325,0.404,3.34229307270524e-07
"FANCL",1.2790034329559e-11,-0.473252440864502,0.12,0.173,3.36096522112152e-07
"TXN",1.28973615625124e-11,-0.395039221900445,0.474,0.554,3.38916867139702e-07
"HDGFL3",1.29909771958932e-11,-0.523153158130815,0.09,0.138,3.41376898753681e-07
"NAA50",1.30327610884149e-11,-0.368528087407227,0.292,0.362,3.42474895881367e-07
"SERTAD2",1.33323536388424e-11,-0.383461558756994,0.251,0.319,3.50347588921499e-07
"ZNF292",1.33883469612545e-11,0.350274172188332,0.543,0.508,3.51818981447845e-07
"PANK2",1.35968858134732e-11,-0.308993022507834,0.239,0.309,3.57298965406448e-07
"CLN5",1.36218696582679e-11,-0.488130391911768,0.123,0.177,3.57955490879964e-07
"GAB1",1.36784767495982e-11,-0.357221843942783,0.228,0.296,3.59443012025942e-07
"SLC25A40",1.38659526735522e-11,-0.4307463925294,0.14,0.197,3.64369504355604e-07
"FAM13B",1.48973814622831e-11,-0.245498822780297,0.373,0.457,3.91473390065876e-07
"MTDH",1.4940927544096e-11,0.234146133472561,0.711,0.705,3.92617694003754e-07
"RCC2",1.53186524578561e-11,-0.22947593190662,0.261,0.336,4.02543549287544e-07
"SLC19A2",1.5531480592368e-11,-0.553322774333645,0.125,0.178,4.08136247006247e-07
"ESYT2",1.58891140713144e-11,-0.384463056335504,0.377,0.45,4.17534139566e-07
"CXCL3",1.61191059380598e-11,-0.935951950716785,0.124,0.175,4.23577865840337e-07
"CARMIL1",1.62774279474720e-11,-0.271697665979221,0.326,0.404,4.27738251603671e-07
"SPARC",1.71945585627845e-11,0.708784189456852,0.113,0.074,4.51838609912851e-07
"OLFML2B",1.74441402866164e-11,-0.374405944869886,0.167,0.227,4.58397118451707e-07
"PSMB8-AS1",1.75647235140519e-11,-0.508636060608097,0.098,0.147,4.61565804502255e-07
"RNASEH2B",1.76682341574031e-11,-0.241026654636412,0.284,0.36,4.64285857188239e-07
"CCDC115",1.76940074155775e-11,-0.467533091423478,0.099,0.149,4.64963126866545e-07
"EPC1",1.81676742263615e-11,-0.19590634660073,0.492,0.58,4.77410143320327e-07
"HNRNPH3",1.82376803809766e-11,-0.225689022680931,0.362,0.444,4.79249765051304e-07
"KLF6",1.82803958017942e-11,-0.265440336605705,0.954,0.95,4.80372240879549e-07
"FUOM",1.83933930449576e-11,-0.355465320277901,0.161,0.22,4.83341582435396e-07
"ISCU",1.84224260862738e-11,-0.241454208140174,0.252,0.325,4.84104512695104e-07
"NUDT16",1.88984315579846e-11,-0.459655943726487,0.124,0.177,4.9661298448072e-07
"C9orf16",1.90677984600017e-11,-0.217599307528928,0.247,0.321,5.01063607931925e-07
"RP2",1.91524317608183e-11,-0.377810979735083,0.229,0.293,5.03287601810783e-07
"IL27RA",1.94030003659326e-11,-0.714014089374092,0.065,0.106,5.09872043615976e-07
"MTO1",1.97177152963331e-11,0.59628937506262,0.238,0.188,5.18142122557041e-07
"METTL25",1.97205192106273e-11,-0.468675607970752,0.127,0.181,5.18215803816865e-07
"PSMA4",1.9873190795246e-11,-0.256055053726551,0.385,0.465,5.22227707717473e-07
"TAGLN2",2.01002672624825e-11,-0.318483046694896,0.366,0.437,5.28194823123515e-07
"GALNT10",2.03537830793909e-11,0.560292354772663,0.288,0.239,5.34856711760234e-07
"POM121",2.05964323466123e-11,-0.420921546785379,0.215,0.279,5.41233049204278e-07
"ZFAND6",2.09633114057212e-11,-0.190215467538321,0.503,0.599,5.50873897119542e-07
"CMC2",2.14259621479383e-11,-0.324282013264883,0.203,0.269,5.63031433323521e-07
"CAMTA1",2.14958861711496e-11,-0.18309292541631,0.403,0.493,5.64868896805469e-07
"GDI2",2.22834467355461e-11,-0.17714491390844,0.482,0.576,5.85564413316681e-07
"NUDT1",2.30315921912159e-11,-0.41111999669931,0.14,0.195,6.0522417960077e-07
"IST1",2.30802009437868e-11,-0.242184274837323,0.293,0.368,6.0650152040083e-07
"HMGA1P4",2.34815090071899e-11,-0.388438398107559,0.155,0.213,6.17047093690935e-07
"UQCRH",2.37464265884246e-11,-0.194614517933512,0.524,0.614,6.24008597890622e-07
"CLIP4",2.38243614095355e-11,-0.451639982546133,0.134,0.189,6.26056569119774e-07
"HMGCS1",2.43558220317533e-11,-0.486109113794871,0.162,0.22,6.40022291350412e-07
"CNOT1",2.51587787653016e-11,-0.237565327364174,0.322,0.402,6.61122388394597e-07
"ATG5",2.52967642158547e-11,-0.232051227421756,0.331,0.411,6.64748370064229e-07
"ZBTB44",2.53939331954639e-11,-0.333461397577767,0.173,0.235,6.67301776510399e-07
"OSM",2.5927871911003e-11,-0.899507438031041,0.062,0.102,6.81332618077338e-07
"OXNAD1",2.64431641190526e-11,-0.495859863239681,0.109,0.159,6.94873466720463e-07
"USP49",2.68702663802362e-11,-0.59274728410549,0.086,0.132,7.06096859939846e-07
"MR1",2.72600924771861e-11,-0.40856885710991,0.168,0.228,7.16340710115496e-07
"HNRNPA0",2.73506174047669e-11,-0.276314037138062,0.22,0.287,7.18719524162465e-07
"FUCA1",2.82736096873129e-11,-0.603731087596855,0.19,0.248,7.42973915363208e-07
"PTRHD1",2.83614270158978e-11,-0.464829737612884,0.119,0.172,7.45281579123763e-07
"AL359762.1",2.84864804144487e-11,-0.633658802799811,0.082,0.128,7.48567732330883e-07
"CBR1",2.86356423884202e-11,-0.43416629077522,0.144,0.2,7.52487410682907e-07
"ZNF821",2.87717867654572e-11,-0.641208228918181,0.096,0.143,7.56065012622684e-07
"TDG",3.01457230877434e-11,-0.383780015132665,0.136,0.192,7.92169311299722e-07
"XRN1",3.05021476979785e-11,-0.206001194602136,0.421,0.501,8.0153543720748e-07
"PI4KB",3.06656633697746e-11,-0.312514064479489,0.172,0.234,8.05832302030937e-07
"CEP170",3.08058116914792e-11,0.200618860999383,0.805,0.793,8.0951511962869e-07
"ARIH2",3.15964996221418e-11,-0.28255847383485,0.263,0.333,8.30292817070642e-07
"ADAP2",3.19695318324062e-11,0.173173500676155,0.705,0.667,8.40095357491971e-07
"VPS37B",3.24745283087548e-11,-0.4285914675319,0.22,0.283,8.5336565489746e-07
"C1orf52",3.27032989436545e-11,-0.419253164610413,0.119,0.172,8.59377289641354e-07
"ZBTB46",3.31235575279695e-11,-0.388324096212275,0.15,0.207,8.70420844719982e-07
"AC104695.4",3.36994288876363e-11,-0.461892454533331,0.086,0.132,8.85553592309307e-07
"RHOBTB3",3.38977845641005e-11,-0.393579756916659,0.211,0.275,8.90765982775434e-07
"AC104123.1",3.42035504953086e-11,-0.431755268038217,0.129,0.182,8.98800899915719e-07
"AC025159.1",3.42359157198681e-11,-0.537811683048059,0.083,0.128,8.99651393286695e-07
"SRGAP2B",3.53147984487263e-11,-0.217467830212126,0.301,0.378,9.28002273635629e-07
"AFTPH",3.57071734098629e-11,-0.271191994691813,0.35,0.428,9.38313102864378e-07
"FRMD3",3.62208605774714e-11,-0.533242257969282,0.106,0.155,9.51811774254793e-07
"IQSEC1",3.63334444161084e-11,-0.343082159824549,0.205,0.269,9.54770252366495e-07
"CNOT10",3.79152932885425e-11,-0.377338084204075,0.169,0.228,9.96338077036319e-07
"PLD4",3.79689228627031e-11,0.637890431591361,0.187,0.141,9.97747354986112e-07
"BNIP2",3.82875527067487e-11,-0.211309700534107,0.374,0.459,1.00612031002794e-06
"CD36",3.87706692472525e-11,-0.138625727635657,0.221,0.292,1.0188156464793e-06
"AC011933.4",3.89988485468212e-11,-0.198713424866937,0.203,0.272,1.02481174211337e-06
"ALKBH7",3.93316641139412e-11,-0.282290414066534,0.222,0.288,1.03355746958615e-06
"STRAP",3.97976639216785e-11,-0.32516322414501,0.198,0.261,1.04580301253387e-06
"BTN3A3",3.99900265293492e-11,-0.677853336243685,0.063,0.104,1.05085791713824e-06
"VAPA",4.00622602139747e-11,-0.210475459422876,0.562,0.644,1.05275607390283e-06
"KLF13",4.04058791368933e-11,-0.409548221284604,0.149,0.205,1.06178569195928e-06
"AC040970.1",4.14618126269582e-11,-0.57444927403848,0.074,0.118,1.08953351221121e-06
"ARPC2",4.21545185516676e-11,-0.150834331753375,0.849,0.886,1.10773643850072e-06
"UBASH3B",4.24878451719107e-11,0.220098961010596,0.327,0.27,1.11649559542747e-06
"RNF138",4.31249239207193e-11,-0.331231333217529,0.245,0.315,1.13323675078866e-06
"UBE2N",4.37868994312257e-11,-0.256828695426656,0.276,0.35,1.15063214325375e-06
"PMS1",4.39622670685416e-11,-0.482984110874515,0.13,0.182,1.15524045402714e-06
"CCDC88C",4.46536699859713e-11,-0.819251765462754,0.061,0.101,1.17340913989135e-06
"ATF7",4.53077049567546e-11,-0.264124224175076,0.272,0.342,1.1905958708536e-06
"PIK3C3",4.63859319705547e-11,-0.272042395303499,0.242,0.311,1.21892952032224e-06
"CARD11",4.70854183817115e-11,0.412232683010136,0.285,0.233,1.23731062423461e-06
"PTGS2",4.77979091165077e-11,-0.86601319527617,0.14,0.192,1.25603345576359e-06
"SERINC5",4.80329705339513e-11,-0.469581614716301,0.361,0.428,1.26221039969117e-06
"NANS",4.8717663177712e-11,-0.241219908521821,0.263,0.335,1.28020275298392e-06
"CAMKK2",4.94457948209888e-11,-0.497914849116876,0.096,0.143,1.29933659630594e-06
"NUBP1",4.94693678828531e-11,-0.333332015054976,0.236,0.304,1.29995604922561e-06
"WSB2",5.13171632866359e-11,-0.544364454111224,0.087,0.133,1.34851241684622e-06
"SCYL2",5.20820087734433e-11,-0.334889971153644,0.23,0.294,1.36861102654854e-06
"CD300LF",5.29320484262951e-11,-0.418485994080175,0.121,0.173,1.39094836854618e-06
"ZNRD1",5.4207458747685e-11,-0.497616194919746,0.103,0.152,1.42446360097167e-06
"CLECL1",5.79129769663463e-11,-0.4622859074997,0.125,0.176,1.52183720872165e-06
"RC3H1",5.85217077314784e-11,-0.20406470219283,0.398,0.485,1.53783343576779e-06
"STK24",5.85706295588916e-11,-0.270435854706096,0.349,0.425,1.53911900354855e-06
"BIRC2",5.8588136758762e-11,-0.383484365135925,0.208,0.269,1.53957905774675e-06
"USP9X",6.01589708469087e-11,-0.245237344455476,0.655,0.72,1.58085743591507e-06
"RPL22",6.03408405331974e-11,-0.156777744069205,0.938,0.934,1.58563660753136e-06
"SZRD1",6.03718498410979e-11,-0.35808483981861,0.18,0.239,1.58645147012437e-06
"IMP3",6.21217131397337e-11,-0.381264968170532,0.146,0.202,1.63243437788592e-06
"EEPD1",6.43985590840441e-11,0.491264604901875,0.344,0.295,1.69226533561051e-06
"SMARCE1",6.50843934905486e-11,-0.314835269679752,0.191,0.252,1.71028769214464e-06
"RGS10",6.51197384496666e-11,0.181056886804416,0.793,0.763,1.71121648698034e-06
"SRSF2",6.54718075387001e-11,-0.21992401625517,0.441,0.529,1.72046815850196e-06
"SERPINA1",6.65269795991483e-11,-0.187284064262248,0.388,0.466,1.74819596990642e-06
"LARS",6.73416696394543e-11,-0.226435446804643,0.221,0.29,1.76960439478558e-06
"RAB12",7.03758549052794e-11,-0.273047057628841,0.222,0.29,1.84933671520093e-06
"FARP2",7.14225404819037e-11,-0.372537415424537,0.187,0.247,1.87684151878347e-06
"BTD",7.17028894365902e-11,-0.416921774280175,0.119,0.17,1.88420852861472e-06
"MRPS35",7.27814820619969e-11,-0.338776234606487,0.121,0.173,1.91255178562516e-06
"GYG1",7.42843749307558e-11,-0.435944355179018,0.111,0.161,1.9520448044304e-06
"NLRC4",7.49429509543231e-11,-0.4349518509684,0.111,0.161,1.9693508651777e-06
"SYT17",7.50600826272816e-11,0.630057914777595,0.188,0.142,1.9724288512797e-06
"ITGAV",7.53269300348211e-11,-0.348779596155006,0.587,0.641,1.97944106745503e-06
"FAM3C",7.97148900059499e-11,-0.426404932488898,0.148,0.202,2.09474787957635e-06
"DLG2",8.02450989233416e-11,-0.587957950460574,0.07,0.111,2.10868070950757e-06
"PGS1",8.3631273486314e-11,-0.368555871959995,0.139,0.193,2.19766260467336e-06
"FTX",8.48770999807801e-11,0.174567169120575,0.848,0.827,2.23040043329494e-06
"MVP",8.5192185296635e-11,-0.26054387146939,0.183,0.246,2.23868024522497e-06
"RPL27",8.54963416844948e-11,-0.198195976743685,0.854,0.859,2.24667286678515e-06
"PTPRE",8.80720092738452e-11,0.235781890749088,0.683,0.655,2.3143562596981e-06
"S100Z",8.80827970909274e-11,0.415332514416626,0.244,0.191,2.31463974195539e-06
"KANTR",9.06074837593338e-11,-0.37597120850615,0.133,0.187,2.38098345822777e-06
"CHIC2",9.11946398701336e-11,-0.258510137089311,0.263,0.332,2.39641274650737e-06
"TMEM60",9.25757263111246e-11,-0.482341014402172,0.11,0.159,2.43270493600373e-06
