"pathway","pval","padj","log2err","ES","NES","size"
"GSE17721_LPS_VS_CPG_2H_BMDC_DN",0.704285714285714,0.913227384878306,0.0463227785794633,-0.313718421732319,-0.859668220517473,65
"GSE17721_LPS_VS_CPG_2H_BMDC_UP",0.446778711484594,0.819113797351401,0.0667426134241917,-0.355065688016811,-1.0134989629444,79
"GSE17721_LPS_VS_CPG_4H_BMDC_DN",0.929873772791024,0.989931605745118,0.0325785172778622,-0.242644445876223,-0.698087773040184,84
"GSE17721_LPS_VS_CPG_4H_BMDC_UP",0.0342479216013902,0.40076076680925,0.321775918075361,-0.485567508139352,-1.41869302792329,97
"GSE17721_LPS_VS_CPG_6H_BMDC_DN",0.43441466854725,0.814558443125712,0.0684714904492087,-0.362036045532768,-1.02711807963401,76
"GSE17721_LPS_VS_CPG_6H_BMDC_UP",0.118065433854908,0.586121443183932,0.152144922367565,-0.429283036385205,-1.25208163943833,95
"GSE17721_LPS_VS_CPG_8H_BMDC_DN",0.487430167597765,0.837133414215789,0.0623861492893626,-0.336203080181957,-1.00344507068062,108
"GSE17721_LPS_VS_CPG_8H_BMDC_UP",0.238429172510519,0.696424848863873,0.100990587455923,-0.400371440852745,-1.15186814404298,84
"GSE17721_LPS_VS_GARDIQUIMOD_0.5H_BMDC_DN",0.855728429985856,0.962406778307873,0.0369160593316849,-0.267500304169998,-0.769439758052253,86
"GSE17721_LPS_VS_GARDIQUIMOD_0.5H_BMDC_UP",0.0754189944134078,0.510828749878435,0.191892240384838,-0.460646731444551,-1.32091629729012,82
"GSE17721_LPS_VS_GARDIQUIMOD_12H_BMDC_DN",0.602739726027397,0.877938122901341,0.0988903007520636,0.294938094582188,0.914591516097135,85
"GSE17721_LPS_VS_GARDIQUIMOD_12H_BMDC_UP",0.559322033898305,0.860628913115114,0.102821842840815,0.30119551643655,0.937298188925907,86
"GSE17721_LPS_VS_GARDIQUIMOD_16H_BMDC_DN",0.7524893314367,0.929080778729413,0.0431036828790402,-0.288375868842689,-0.833381770402636,90
"GSE17721_LPS_VS_GARDIQUIMOD_16H_BMDC_UP",0.874105865522175,0.968582887700535,0.0364548541965309,-0.265385053616623,-0.770247650007308,93
