"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CBX6",0.0381815162603409,0.357332673542206,0.215,0.143,1
"SFSWAP",0.629357935307239,0.357206210674656,0.155,0.148,1
"CISD2",0.151492348407732,0.357189459257926,0.189,0.148,1
"SPATS2L",0.199234896484821,0.357166141708835,0.392,0.357,1
"BORCS7",0.111824960117533,0.356161814230455,0.308,0.26,1
"PARP14",0.0304938757964727,0.355753489040298,0.16,0.102,1
"PMVK",0.204341716459113,0.355299112909019,0.251,0.214,1
"MOAP1",0.157064779863796,0.354550981944649,0.1,0.066,1
"GNPTG",0.0444644868778175,0.354483092746137,0.429,0.367,1
"ATG4C",0.783836162001275,0.354167317797317,0.092,0.102,1
"CD4",0.062672539865928,0.353627051425475,0.3,0.23,1
"HOXB5",0.116361647184353,0.352482390253941,0.191,0.143,1
"BAZ1B",0.167889920445599,0.352266706874042,0.236,0.194,1
"EXOC5",0.286059753086658,0.35146981223503,0.157,0.128,1
"ARL14EP",0.399251610825247,0.351194591413818,0.178,0.158,1
"POLR2F",0.211341403499645,0.350940917527583,0.348,0.321,1
"CMTM6",0.0510690767311924,0.350461178020871,0.396,0.332,1
"PHPT1",0.0463757196743133,0.350145984283586,0.606,0.541,1
"CKS1B",0.531204465370289,0.350114632548072,0.144,0.128,1
"FAM98C",0.135836801186173,0.34965278049563,0.102,0.066,1
"TMEM106B",0.0462937364523772,0.349353424810983,0.332,0.26,1
"NTAN1",0.795222490141182,0.34903138283263,0.219,0.224,1
"HEG1",0.30446652450435,0.349011618423547,0.223,0.194,1
"AQP1",0.0345292581489634,0.348950584830572,0.121,0.066,1
"UQCR10",0.00441645151014164,0.348781320623587,0.665,0.556,1
"FOS",0.00186703106958903,0.348707136697599,0.829,0.735,1
"NUP133",0.327584386480536,0.348499652343117,0.111,0.087,1
"DPP8",0.63045288191131,0.348436717399788,0.101,0.092,1
"NDUFS7",0.00882203236885147,0.348352493998446,0.506,0.418,1
"MRPL13",0.262460019247991,0.347980361132046,0.251,0.224,1
"MIER1",0.168901225916638,0.347888455904749,0.306,0.26,1
"P3H4",0.485145027839232,0.347646666840553,0.204,0.189,1
"GTF2A1",0.475118243300216,0.347556294298957,0.128,0.112,1
"CDC14B",0.613235281848637,0.347502982598798,0.112,0.102,1
"SCAND1",0.0263030614051778,0.347437911466146,0.462,0.388,1
"ARRDC3",0.0865706654112174,0.347219051756349,0.253,0.189,1
"HNRNPM",0.0644329497832751,0.347158866351515,0.327,0.265,1
"ROR2",0.308397111774277,0.347037401567023,0.183,0.158,1
"DNAJC8",0.0205309943466128,0.346950832928968,0.384,0.306,1
"RNF213",0.120718320082861,0.346838476258333,0.248,0.199,1
"TMEM14A",0.111862704677837,0.345710849615447,0.348,0.296,1
"CHD6",0.0834034997915974,0.345492790366215,0.199,0.143,1
"FRMD4B",0.0615452292764575,0.34526119639256,0.266,0.194,1
"ITSN2",0.0806219826310704,0.344939232710538,0.164,0.112,1
"HMGN1",0.00486442919049257,0.344764724760622,0.636,0.541,1
"RAP1A",0.408337753854955,0.344729318383254,0.268,0.25,1
"SYNJ2",0.777548577007482,0.344552430470808,0.111,0.107,1
"SNRPN",0.0869256553602878,0.344324986403879,0.306,0.245,1
"MAFB",0.403080169613923,0.343693207924067,0.278,0.255,1
"LINC01436",0.00831079650462222,0.343683298831027,0.101,0.041,1
"C9orf16",0.00193671387864588,0.343655905771897,0.529,0.398,1
"MED10",0.241459889590839,0.343351708707321,0.29,0.255,1
"EXOSC4",0.701740077633512,0.342959492749896,0.149,0.143,1
"TNIP1",0.300037538419637,0.342950184113144,0.207,0.179,1
"ITM2B",7.97801115426031e-08,0.342769327838887,0.983,0.898,0.00268811107831647
"IRF2BPL",0.0112341965264515,0.342446039820149,0.194,0.112,1
"SH3RF1",0.234039883722961,0.342251187435489,0.109,0.082,1
"GRAMD1A",0.933754411234894,0.34188262783406,0.139,0.143,1
"MPHOSPH10",0.755662877895722,0.341879869114986,0.169,0.168,1
"RSBN1L",0.0822524389109359,0.341868955859513,0.272,0.214,1
"MED11",0.168192406406481,0.341384573988683,0.137,0.102,1
"NINJ1",0.156801201902726,0.341365298826206,0.263,0.219,1
"PTPRK",0.114775483810088,0.341327771218344,0.245,0.194,1
"YPEL5",0.165261356007158,0.341225374067962,0.343,0.301,1
"NAALADL2",0.145841085188008,0.341103850952121,0.137,0.097,1
"BANF1",0.0145154568193351,0.341079035518563,0.523,0.408,1
"NUBP1",0.363824444287098,0.340923116837785,0.082,0.107,1
"SLC37A3",0.219654248432333,0.340883247724082,0.123,0.092,1
"NUDT4",0.111337477900786,0.340472395276449,0.328,0.27,1
"NFE2L2",0.0411157082979573,0.340454627121556,0.555,0.49,1
"DNAJC15",0.029764797603728,0.340180527662347,0.482,0.413,1
"NUCB1",0.0396724416046504,0.340031969911154,0.55,0.49,1
