"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.89872945115194,0.309,0.036,0,"0","ADGRB3"
0,3.06490271628247,0.435,0.067,0,"0","SLC35F1"
7.72449757697123e-220,2.34435897176485,0.279,0.058,2.0298434732765e-215,"0","AIM2"
4.86831481449077e-156,2.20998844216861,0.261,0.072,1.27929576695188e-151,"0","SLAMF7"
2.49115132864978e-155,2.12915820496828,0.254,0.068,6.54624746142588e-151,"0","TENM4"
2.07813891953745e-319,2.05086204011141,0.534,0.169,5.46093345276051e-315,"0","AP001636.3"
6.86604559946272e-207,2.01490670014507,0.402,0.135,1.80425946262681e-202,"0","GBP4"
1.86659298891096e-129,1.9877546673823,0.421,0.198,4.90503305626023e-125,"0","GBP1"
2.96375428847361e-162,1.91740397773398,0.269,0.072,7.78815351925095e-158,"0","MTUS1"
3.42504716166095e-120,1.91084168735389,0.321,0.127,9.00033893141264e-116,"0","GBP5"
8.47276947020934e-138,1.881503836331,0.324,0.12,2.22647436138161e-133,"0","ANKRD22"
3.74459981517568e-209,1.8215893661369,0.478,0.185,9.84005939431864e-205,"0","MACC1"
2.52405923625935e-140,1.75023651425647,0.307,0.105,6.63272286104232e-136,"0","LINC01684"
0,1.74816055389372,0.746,0.349,0,"0","C3"
1.7432505802549e-159,1.74560246190354,0.332,0.112,4.58091387479382e-155,"0","ANOS1"
9.75437175002693e-146,1.74157439472569,0.35,0.131,2.56325380847208e-141,"0","P2RY12"
6.62467217893054e-210,1.61599553156424,0.499,0.199,1.74083135517937e-205,"0","DLEU7"
2.67895269688406e-179,1.55628414446979,0.672,0.422,7.03975189687193e-175,"0","STAT1"
1.2006879265276e-92,1.48628237077078,0.256,0.099,3.15516773332923e-88,"0","APOL3"
4.25896301799879e-169,1.46838420723635,0.483,0.209,1.11917030186972e-164,"0","BHLHE41"
1.05141816649039e-121,1.46449574943096,0.342,0.137,2.76291665790344e-117,"0","LINC01146"
1.91389703060426e-151,1.45546557757543,0.409,0.166,5.02933861702188e-147,"0","SERPING1"
1.19079053538018e-228,1.44938870647747,0.552,0.222,3.12915936887203e-224,"0","AC120193.1"
8.20269861181716e-137,1.44705401399932,0.384,0.158,2.15550514121331e-132,"0","HGF"
8.88593647509166e-151,1.44690770306318,0.453,0.203,2.33504638692459e-146,"0","AL035446.2"
7.88512818813271e-168,1.44107698869047,0.507,0.234,2.07205398527751e-163,"0","MARCH3"
4.48174624720335e-124,1.43675505078106,0.49,0.257,1.1777132788401e-119,"0","TNFSF10"
