"pathway","pval","padj","log2err","ES","NES","size","cluster"
"ALK_DN.V1_UP",0.0574600692065312,0.324074790324836,0.321775918075361,0.502118568911631,1.5449186145286,20,"9"
"ATF2_S_UP.V1_DN",0.563253012048193,0.821359223300971,0.0952879846194844,0.290419963930494,0.934169196469112,24,"9"
"ATF2_S_UP.V1_UP",0.815789473684211,0.974753521126761,0.0432768714901103,-0.275718525359224,-0.749499200501071,17,"9"
"ATF2_UP.V1_DN",0.488235294117647,0.754587155963303,0.102449405629826,0.289115560499516,0.961940028955781,27,"9"
"BMI1_DN.V1_DN",0.13914373088685,0.463483146067416,0.144630528034484,-0.455846754502424,-1.29513540100064,20,"9"
"BMI1_DN.V1_UP",0.00308037169187793,0.0868664817109577,0.431707695803346,0.579613330318708,1.86439290095154,24,"9"
"BMI1_DN_MEL18_DN.V1_DN",0.188622754491018,0.507220309368416,0.120433371642259,-0.445664382366166,-1.25713655134847,19,"9"
"BMI1_DN_MEL18_DN.V1_UP",0.0259893638896797,0.163201070818125,0.352487857583619,0.471636614531928,1.61275082467235,30,"9"
"CAMP_UP.V1_DN",0.146198830409357,0.463483146067416,0.199915231309662,0.335305768302947,1.23775501551161,41,"9"
"CAMP_UP.V1_UP",0.987767584097859,1,0.0338245444462164,-0.189817484389534,-0.53930260846129,20,"9"
"CORDENONSI_YAP_CONSERVED_SIGNATURE",0.204419889502762,0.507220309368416,0.161978948883402,0.424531772357281,1.21407227919765,15,"9"
"CRX_DN.V1_DN",0.310240963855422,0.591134809508304,0.135002033828631,0.344127998008639,1.10692726158176,24,"9"
"CRX_NRL_DN.V1_UP",0.946629213483146,1,0.0640703750499722,0.209892099621195,0.618235381483024,17,"9"
"CSR_EARLY_UP.V1_UP",0.298850574712644,0.585249042145594,0.134273452883202,0.35810662832237,1.10182261787389,20,"9"
"CSR_LATE_UP.V1_DN",0.350724637681159,0.650686498855835,0.123257226381337,0.339698079941299,1.05560158839824,21,"9"
"CYCLIN_D1_KE_.V1_DN",0.776758409785933,0.969229520175367,0.0449543067640062,-0.278125815902171,-0.790201063294337,20,"9"
"CYCLIN_D1_KE_.V1_UP",0.933734939759036,1,0.0681513438679483,0.207760582963727,0.668285796260304,24,"9"
"CYCLIN_D1_UP.V1_DN",0.907120743034056,0.999431050423156,0.0383995813369433,-0.252484749547754,-0.686341687335677,17,"9"
"CYCLIN_D1_UP.V1_UP",0.7140625,0.93095149944465,0.0497903187820785,-0.308213053156466,-0.817493218116193,15,"9"
"E2F1_UP.V1_DN",0.0125542366169727,0.136165181768704,0.380730400722792,0.436208152175811,1.5785380791786,38,"9"
"EGFR_UP.V1_DN",0.376296296296296,0.674133763094279,0.0782955249944794,-0.359249966871867,-1.05806477789188,23,"9"
